route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_type2_id,valid_from,valid_until
A,2,"A","","KOSZAROWA (SZPITAL) - Koszarowa - Berenta - Wyszyńskiego - pl. Powstańców Warszawy - Oławska - Podwale - Świdnicka - Krucza - Inżynierska - Hallera - Grabiszyńska - Solskiego - Aleja Piastów - Racławicka - RACŁAWICKA|RACŁAWICKA - Aleja Piastów - Solskiego - Grabiszyńska - Hallera - Aleja Pracy - Inżynierska - Krucza - Wielka - Świdnicka - Kościuszki - Krasińskiego - pl. Powstańców Warszawy - Wyszyńskiego - Boya-Żeleńskiego - Berenta - Kasprowicza - Czajkowskiego - Koszarowa - KOSZAROWA (SZPITAL)|RACŁAWICKA - Racławicka - Aleja Piastów - Solskiego - Grabiszyńska - Hallera - Aleja Pracy - Inżynierska - Krucza - Wielka - Świdnicka - Kościuszki - Krasińskiego - pl. Powstańców Warszawy - Wyszyńskiego - Boya-Żeleńskiego - Berenta - Kasprowicza - Czajkowskiego - Koszarowa - KOSZAROWA (SZPITAL)",3,35,"2021-06-26","2999-01-01"
C,2,"C ","","KOZANÓW - Kozanowska - Wejherowska - Popowicka - Długa - mosty Mieszczańskie - Dubois - Sienkiewicza - Szczytnicka - pl. Grunwaldzki - PL. GRUNWALDZKI|PL. GRUNWALDZKI - Wyszyńskiego - Drobnera - Dubois - Dmowskiego - Długa - Popowicka - Kozanowska - KOZANÓW",3,35,"2021-06-26","2999-01-01"
D,2,"D","","OSIEDLE SOBIESKIEGO - Królewska - Bora-Komorowskiego - Krzywoustego - Brücknera - Kochanowskiego - pl. Grunwaldzki - Oławska - Piotra Skargi - Podwale - Świdnicka - Powstańców Śl. - Krzycka - Wałbrzyska - Karmelkowa - Giełdowa - GIEŁDOWA (CENTRUM HURTU)|GIEŁDOWA (CENTRUM HURTU) - Karmelkowa - Wałbrzyska - Krzycka - Powstańców Śl. - Świdnicka - Oławska - pl. Powstańców Warszawy - pl. Grunwaldzki - Kochanowskiego - Brücknera - Krzywoustego - Bora-Komorowskiego - Królewska - OSIEDLE SOBIESKIEGO",3,35,"2021-06-26","2999-01-01"
K,2,"K","","GAJ - PĘTLA - Świeradowska - Borowska - Peronowa - Kazimierza Wlk. - Pomorska - Reymonta - Osobowicka - Łużycka - Bezpieczna - Obornicka - Broniewskiego - Żmigrodzka - Kamieńskiego - KAMIEŃSKIEGO (PĘTLA)|KAMIEŃSKIEGO (PĘTLA) - Żmigrodzka - Broniewskiego - Obornicka - Bezpieczna - Łużycka - Osobowicka - Reymonta - Pomorska - Drobnera - Nowy Świat - Kazimierza Wlk. - Piotra Skargi - Peronowa - Ślężna - Borowska - Świeradowska - GAJ - PĘTLA",3,35,"2021-06-26","2999-01-01"
N,2,"N","","LITEWSKA - Litewska - Żmudzka - Kiełczowska - Krzywoustego - Wyszyńskiego - pl. Powstańców Warszawy - Oławska - Piotra Skargi - Peronowa - Ślężna - Petrusewicza - PETRUSEWICZA|PETRUSEWICZA - Borowska - Peronowa - Oławska - pl. Powstańców Warszawy - Wyszyńskiego - Krzywoustego - Kiełczowska - Żmudzka - Litewska - LITEWSKA",3,35,"2021-06-26","2999-01-01"
1,3,"1","","POŚWIĘTNE - Żmigrodzka - Trzebnicka - pl. Powstańców Wielkopolskich - Słowiańska - Jedności Narodowej - Nowowiejska - Piastowska - Curie-Skłodowskiej - Wróblewskiego - Olszewskiego - BISKUPIN|BISKUPIN - Wróblewskiego - Curie-Skłodowskiej - Piastowska - Nowowiejska - Jedności Narodowej - Słowiańska - pl. Powstańców Wielkopolskich - Trzebnicka - Żmigrodzka - POŚWIĘTNE",0,31,"2021-07-17","2999-01-01"
2,3,"2","","KLECINA - Wałbrzyska - Przyjaźni - Karkonoska - Powstańców Śl. - Aleja Hallera - Grabiszyńska - Piłsudskiego - Kołłątaja - Oławska - pl. Powstańców Warszawy - Wyszyńskiego - Szczytnicka - Rondo Reagana - Curie-Skłodowskiej - Wróblewskiego - Olszewskiego - BISKUPIN|BISKUPIN - Wróblewskiego - Curie-Skłodowskiej - Rondo Reagana - Curie-Skłodowskiej - Wyszyńskiego - pl. Powstańców Warszawy - Oławska - Skargi - Kołłątaja - Piłsudskiego - Grabiszyńska - Aleja Hallera - Powstańców Śl. - Karkonoska - Przyjaźni - Wałbrzyska - KLECINA",0,31,"2021-07-17","2999-01-01"
3,3,"3","","LEŚNICA - Średzka - Kosmonautów - Lotnicza - Legnicka - Złotoryjska - TAT - Podwale - pl. Teatralny - Teatralna - Oławska - Traugutta - Krakowska - Opolska - KSIĘŻE MAŁE|KSIĘŻE MAŁE - Krakowska - Traugutta - Oławska - Teatralna - pl. Teatralny - Podwale - TAT - Śrubowa - Złotoryjska - Legnicka - Lotnicza - Kosmonautów - Średzka - LEŚNICA",0,31,"2021-07-17","2999-01-01"
4,3,"4","","BISKUPIN - Olszewskiego - Wróblewskiego - Curie-Skłodowskiej - Rondo Reagana - pl. Grunwaldzki - pl. Powstańców Warszawy - Traugutta - Pułaskiego - Małachowskiego - Piłsudskiego - Grabiszyńska - OPORÓW|OPORÓW - Piłsudskiego - Małachowskiego - Pułaskiego - Traugutta - pl. Powstańców Warszawy - pl. Grunwaldzki - Rondo Reagana - Curie-Skłodowskiej - Wróblewskiego - Olszewskiego - BISKUPIN",0,31,"2021-07-17","2999-01-01"
5,3,"5","","KSIĘŻE MAŁE - Opolska - Krakowska - Traugutta - Oławska - Skargi - Kołłątaja - Piłsudskiego - Grabiszyńska - OPORÓW|OPORÓW - Piłsudskiego - Kołłątaja - Oławska - Traugutta - Krakowska - Opolska - KSIĘŻE MAŁE",0,31,"2021-07-17","2999-01-01"
